202042	202043	202037
202106	202078	202075
202072	202104	202090
202050	202097	202013
202057	202025	202034
202016	202088	202015
202089	202062	202023
202044	202039	202048
202090	202064	202099
202072	202006	202102
202097	202020	202050
202066	202030	202033
202088	202006	202016
202088	202006	202073
202061	202068	202071
202080	202087	202077
202030	202081	202047
202013	202097	202050
202056	202077	202087
202084	202056	202021
202062	202007	202049
202056	202085	202084
202076	202034	202102
202054	202067	202049
202087	202094	202018
202031	202093	202051
202024	202005	202007
202019	202066	202014
202028	202063	202091
202047	202081	202066
202079	202102	202025
202108	202065	202053
202042	202100	202043
202101	202025	202041
202008	202048	202050
202092	202109	202057
202050	202039	202004
202001	202052	202043
202001	202100	202042
202008	202076	202048
202044	202102	202071
202019	202030	202014
202081	202033	202066
202058	202064	202039
202067	202062	202089
202041	202004	202013
202056	202077	202085
202072	202104	202042
202080	202021	202036
202026	202067	202105
202084	202021	202085
202005	202108	202109
202048	202068	202008
202065	202008	202007
202087	202057	202080
202017	202071	202070
202089	202080	202049
202091	202073	202101
202048	202074	202069
202108	202036	202059
202014	202030	202047
202049	202026	202099
202058	202048	202074
202064	202039	202074
202061	202071	202017
202061	202017	202070
202003	202104	202052
202091	202063	202016
202013	202064	202097
202002	202104	202078
202025	202044	202102
202095	202087	202021
202104	202090	202106
202034	202102	202076
202062	202053	202018
202047	202033	202066
202060	202045	202023
202056	202022	202021
202056	202024	202051
202022	202084	202036
202077	202095	202018
202016	202015	202006
202007	202062	202049
202078	202003	202104
202073	202063	202101
202040	202109	202098
202105	202026	202028
202022	202027	202087
202077	202087	202098
202024	202088	202015
202013	202004	202074
202095	202077	202092
202067	202089	202007
202043	202037	202092
202038	202063	202091
202034	202025	202044
202078	202072	202003
202049	202026	202093
202002	202078	202104
202068	202058	202090
202036	202065	202057
202092	202057	202040
